Component,CumulativeVariance
127,0.8840208897609028
128,0.8854702571746331
129,0.8868947248038822
130,0.8883047395079859
131,0.8896892582514764
132,0.8910482987776831
133,0.8923925511821305
134,0.8937224896666626
135,0.8950386366809083
136,0.8963355795450879
137,0.8976145967948277
138,0.8988845862508257
139,0.9001506243632689
140,0.9014014608802583
141,0.902641845773994
142,0.9038775367273254
143,0.9050861009905116
144,0.906285079150676
145,0.9074796606734176
146,0.908661061942989
147,0.9098333799376535
148,0.9109986659302075
149,0.9121332440325126
150,0.9132646226143669
151,0.9143917271012774
152,0.9155095533339321
153,0.9166085594957688
154,0.9176958947835433
155,0.9187784740478204
156,0.9198365274054614
157,0.9208756017332218
158,0.9219044444799195
159,0.922925326580324
160,0.923937159391216
161,0.9249456283095546
162,0.9259461079160474
163,0.9269426946511777
164,0.9279255127847128
165,0.9288989684750977
166,0.9298642431408697
167,0.9308201105932854
168,0.9317662829643849
169,0.9326890917094024
170,0.9336112117844342
171,0.9345296513195743
172,0.9354373578572807
173,0.9363417873766396
174,0.9372357747588855
175,0.938113715822878
176,0.9389825755199875
177,0.9398410681917592
178,0.9406855454286118
179,0.9415172400417311
180,0.9423338614495226
181,0.9431354631744624
182,0.9439327644558975
183,0.9447268784287773
184,0.9455100817266631
185,0.9462899007580172
186,0.9470498041356982
187,0.9478060800758623
188,0.9485580048405146
189,0.9493014265182559
190,0.9500398199259008
191,0.9507657417844312
192,0.9514896996689637
193,0.9521942313223319
194,0.952893577494508
195,0.9535743679269978
196,0.9542507148478875
197,0.9549200231499165
198,0.9555815014481392
199,0.9562335196448314
200,0.956885345635556
201,0.9575248918274444
202,0.9581608824347742
203,0.9587906955586909
204,0.9594164199293365
205,0.9600353538729579
206,0.9606417138141714
207,0.961244305058034
208,0.961832925860725
209,0.9624189704081452
210,0.9629959275699155
211,0.963562321872733
212,0.9641242981684917
213,0.9646830436995097
214,0.9652243577199803
215,0.9657633844892286
216,0.966298103089674
217,0.9668290293032336
218,0.9673498915711976
219,0.9678686090585847
220,0.9683821576308729
221,0.9688867596715134
222,0.9693829921680502
223,0.9698702017058649
224,0.9703536347277067
225,0.9708320472975462
226,0.9713048577443452
227,0.9717694443338392
228,0.9722287487047369
229,0.9726795511643366
230,0.9731254252226993
231,0.9735659233653137
232,0.9740041779698687
233,0.9744345431687661
234,0.9748614313732741
235,0.9752832393291985
236,0.9756982307899273
237,0.9761070371452364
238,0.9765130843967346
239,0.9769152242897267
240,0.9773134052468828
241,0.9777103236591745
242,0.9781013205470745
243,0.9784849544807007
244,0.9788559450909456
245,0.9792254700399035
246,0.9795844383740111
247,0.9799394948276688
248,0.9802917071265976
249,0.9806389964940002
250,0.9809814797056707
251,0.981318687143519
252,0.9816536339929979
